Glomerulus,Dmel ,Dsim,Dsec
D,2.322206096,2.864938608,1.519756839
DA1,4.063860668,3.547066849,3.647416413
DA2,0.580551524,0.545702592,0
DA3,0.435413643,0.136425648,0.607902736
DA4l,0.870827286,1.36425648,1.215805471
DA4m,0.725689405,0.409276944,2.127659574
DC1,3.338171263,3.274215553,1.975683891
DC2,1.886792453,3.001364256,1.975683891
DC3,4.499274311,4.911323329,1.367781155
DC4,2.322206096,2.04638472,1.367781155
DL1,4.35413643,3.137789905,4.103343465
DL2d,1.015965167,0.68212824,3.191489362
DL2v,1.306240929,1.227830832,1.671732523
DL3,0.435413643,1.091405184,1.063829787
DL4,0.725689405,0.272851296,0.151975684
DL5,3.047895501,3.547066849,3.495440729
DM1,1.45137881,1.091405184,2.127659574
DM2,1.596516691,2.72851296,2.73556231
DM3,1.886792453,1.500682128,2.279635258
DM4,1.741654572,0.68212824,1.671732523
DM5,1.161103048,3.137789905,1.823708207
DM6,3.047895501,3.001364256,2.127659574
DP1l,0.435413643,0.954979536,3.191489362
DP1m,2.177068215,2.319236016,3.039513678
V,0.290275762,0,0.151975684
VA1d,5.079825835,3.137789905,2.127659574
VA1v,3.193033382,3.137789905,2.583586626
VA2,2.322206096,1.500682128,3.647416413
VA3,3.193033382,2.72851296,3.495440729
VA4,1.161103048,0.68212824,0.759878419
VA5,2.90275762,3.410641201,4.103343465
VA6,4.063860668,2.592087312,2.431610942
VA7l,1.161103048,1.500682128,3.039513678
VA7m,1.161103048,2.182810368,0.455927052
VC1,1.596516691,1.773533424,0.911854103
VC2,1.161103048,2.319236016,1.063829787
VC3,2.90275762,4.774897681,2.127659574
VC4,1.741654572,2.455661664,0.607902736
VL1,0.435413643,0.136425648,0.607902736
VL2a,4.208998549,1.36425648,3.343465046
VL2p,3.047895501,2.04638472,1.975683891
VM1,2.031930334,2.72851296,3.495440729
VM2,0.725689405,1.500682128,2.279635258
VM3,0.580551524,0.818553888,2.431610942
VM4,1.741654572,0.954979536,3.343465046
VM5d,2.757619739,1.637107776,1.823708207
VM5v,3.628447025,5.047748977,1.823708207
VM7d,3.047895501,3.956343793,1.975683891
VM7v,0.435413643,0.136425648,0.911854103